Адрес,Порт,Пакеты,Байты,Пакетов отправлено,Байтов отправлено,Пакетов получено,Байтов получено
"157.240.205.11",443,15,990,0,0,15,990
"158.160.4.42",443,101,25916,50,14364,51,11552
"158.160.39.250",443,59,29466,28,12829,31,16637
"158.160.47.241",443,58,21443,29,9689,29,11754
"158.160.49.136",443,84,20810,40,10669,44,10141
"158.160.158.98",443,31,9770,16,6482,15,3288
"162.19.169.41",80,2991,184930,1497,101814,1494,83116
"162.243.187.127",443,624,41427,347,23812,277,17615
"172.175.234.12",443,512,314821,221,85630,291,229191
"172.215.180.16",9354,541,87848,275,27062,266,60786
"172.217.28.131",443,65,19295,34,12882,31,6413
"173.194.73.94",443,179,46270,88,27225,91,19045
"173.194.73.95",443,202,114415,111,97138,91,17277
"173.194.73.147",443,78,16943,38,9166,40,7777
"173.194.220.94",443,340,51523,179,27238,161,24285
"173.194.220.95",443,199,72812,101,38999,98,33813
"173.194.220.97",443,1079,913423,657,880055,422,33368
"173.194.220.104",443,79,25491,36,8563,43,16928
"173.194.220.132",443,66,22228,32,15205,34,7023
"173.194.220.139",443,118,50349,59,39816,59,10533
"173.194.220.148",443,52,46088,4,264,48,45824
"173.194.220.149",443,14,12120,1,66,13,12054
"173.194.221.84",443,183,89926,101,73690,82,16236
"173.194.221.94",443,176,60386,91,43365,85,17021
"173.194.221.95",443,414,228738,221,194717,193,34021
"173.194.221.100",443,76,67894,6,396,70,67498
"173.194.221.101",443,48,43732,4,264,44,43468
"173.194.221.102",443,132,120135,11,726,121,119409
"173.194.221.113",443,148,133428,12,792,136,132636
"173.194.221.132",443,65,23483,32,17002,33,6481
"173.194.221.138",443,48,43668,4,264,44,43404
"173.194.221.147",443,125,34387,67,13849,58,20538
"173.194.221.148",443,52,45992,4,264,48,45728
"173.194.221.149",443,52,46024,4,264,48,45760
"173.194.221.154",443,26,23096,2,132,24,22964
"173.194.221.155",443,102,90908,8,528,94,90380
"173.194.222.94",80,25,3117,10,1479,15,1638
"173.194.222.94",443,220,64087,112,43914,108,20173
"173.194.222.95",443,21,8441,10,5999,11,2442
"173.194.222.100",443,84,23714,42,9841,42,13873
"173.194.222.101",443,120,109426,10,660,110,108766
"173.194.222.113",443,72,65662,6,396,66,65266
"173.194.222.132",443,52,46160,4,264,48,45896
"173.194.222.138",443,434,341039,73,11992,361,329047
"173.194.222.148",443,64,56996,5,330,59,56666
"173.194.222.149",443,52,46152,4,264,48,45888
"173.199.130.30",443,343,185137,181,166177,162,18960
"176.114.86.86",443,793,227909,366,62564,427,165345
"178.154.201.226",443,26,6909,13,3708,13,3201
"178.248.233.33",443,467,116694,236,62180,231,54514
"178.248.237.68",443,367,231982,217,209150,150,22832
"184.86.11.11",80,83,17634,36,12303,47,5331
"184.105.99.75",443,2726,828963,1425,454949,1301,374014
"185.26.122.8",443,922,758975,561,722383,361,36592
"185.65.149.228",443,32,10454,17,6160,15,4294
"185.73.193.117",443,57,16635,29,11436,28,5199
"185.73.193.120",443,2066,1217388,1093,1122071,973,95317
"185.73.194.82",443,2371,1633900,1480,1391300,891,242600
"185.73.194.117",443,56,16610,30,11478,26,5132
"185.73.195.108",443,763,517914,331,39948,432,477966
"185.73.195.116",443,290,223061,167,207821,123,15240
"185.199.108.133",443,312,51957,162,24521,150,27436
"185.199.109.133",443,574,86272,298,41361,276,44911
"185.199.110.133",443,515,138167,282,95184,233,42983
"185.199.110.153",80,22,1334,10,636,12,698
"185.199.110.153",443,225,75284,123,56589,102,18695
"185.199.111.133",443,632,112243,329,52440,303,59803
"185.199.111.154",443,1519,1172886,924,1117042,595,55844
"188.40.167.82",443,226,120779,124,103210,102,17569
"188.42.30.84",443,57,19923,31,14032,26,5891
"188.72.107.194",443,28,9422,15,6211,13,3211
"188.114.98.224",443,1532,596182,787,394287,745,201895
"188.114.98.235",443,2137,1754083,1346,1649183,791,104900
"188.114.99.224",443,1682,687495,927,542414,755,145081
"188.114.99.235",443,1079,832607,660,778167,419,54440
"192.0.73.2",443,103,27471,54,15633,49,11838
"192.168.31.1",53,70251,4974362,31800,2571239,38451,2403123
"192.168.31.1",5351,5032,785072,2538,412749,2494,372323
